,well_name,de_operator,county,state,address,de_status,de_well_type,de_direction,de_closest_city,de_latitude,de_longitude,de_oil_bbls,de_gas_mcf,de_production_start,de_production_end
51,Chalmers 5300 21-19 1 OT,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.061344,-103.602525,248,1.3 k,May 2015,December 2025
52,Chalmers 5300 21-19 9B,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.061434,-103.602524,321,1.2 k,May 2015,December 2025
53,Chalmers 5300 21-19 11 B,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.061254,-103.602525,135,770,May 2015,December 2025
54,Kline Federal 5300 41-18 9T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.069087,-103.602869,379,2.6 k,September 2015,December 2025
55,Kline Federal 5300 41-18 10B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.068997,-103.602868,80,152,September 2015,December 2025
56,Kline Federal 5300 41-18 13T2X,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie,ND,"1001 Fannin, Suite 1500",Plugged and Abandoned,Oil & Gas,H,Williston,48.068726,-103.602865,,,August 2015,July 2024
57,Kline Federal 5300 41-18 14BX,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.068635,-103.602863,872,5.3 k,August 2015,December 2025
58,Kline Federal 5300 41-18 12TX,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.068816,-103.602866,153,1.2 k,September 2015,December 2025
59,Wade Federal 5300 41-30 9B,OASIS PETROLEUM NORTH AMERICA LLC,Williams,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.041027,-103.60302,305,3 k,June 2015,December 2025
60,Kline Federal 5300 31-18 8B,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.074542,-103.602936,185,451,September 2015,December 2025
