well_file_number,well_name,operator,api,county,state,address,latitude,longitude,de_url,de_found,de_status,de_well_type,de_direction,de_operator,de_closest_city,de_latitude,de_longitude,de_oil_bbls,de_gas_mcf,de_production_start,de_production_end
25160,Columbus Federal 3-16H ~ 4 & lt-153N-101W Sec__ '-I i ti J-2 I,"Continental Resources, Inc.",,,ND,P.O. Box 268870,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/columbus-federal-3-16h/33-053-04856,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.075449,-103.669687,570,702,March 2014,December 2025
25571,Colville 5301 44-12T,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/colville-5301-44-12t/33-053-04981,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.082623,-103.607895,714,1.1 k,September 2013,December 2025
28190,Lewis Federal 5300 21-31 6B,Oasis Petroleum,33-053-05845,Mckenzie,ND,,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/lewis-federal-5300-21-31-6b/33-053-05845,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.031718,-103.603085,967,4.1 k,September 2019,December 2025
28194,Lewis Federal 5300 21-31 5B,Oasis Petroleum,33-053-05849,Mckenzie,ND,,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/lewis-federal-5300-21-31-5b/33-053-05849,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.031808,-103.603086,1 k,211,September 2019,December 2025
28303,Wade Federal 5300 31-30 11 T,Oasis Petroleum North America,33-053-05906,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-31-30-11t/33-053-05906,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.044162,-103.602670,243,1.2 k,May 2015,December 2025
28342,Chalmers 5301 44-24 2TR,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5301-44-24-2tr/33-053-05924,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.055866,-103.604903,275,2.5 k,December 2014,December 2025
28394,Wade Federal 5300 41-30 4T,Oasis Petroleum North America,33-053-05943,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-41-30-4t/33-053-05943,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.042266,-103.603158,78,779,May 2015,December 2025
28425,Wade Federal 5300 41-30 6B,Oasis Petroleum North America,33-053-05954,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-41-30-6b/33-053-05954,1,Inactive,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.041298,-103.603014,N/A,N/A,June 2015,December 2025
28554,Wade Federal 5300 31-30 2B,Oasis Petroleum North America,33-053-05995,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-31-30-2b/33-053-05995,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.042447,-103.603155,266,1.6 k,May 2015,December 2025
28557,Wade Federal 5300 41-30 7T,Oasis Petroleum North America,33-053-05998,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-41-30-7t/33-053-05998,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.041208,-103.603016,317,1.1 k,June 2015,December 2025
